sequence_a	sequence_b	rnadist	software
D10529.1_1-121	X06837.1_1-119	12	carna
AE003677.3_170128-170056	AB066098.1_1687-1760	0	carna
AF021899.1_1-190	U51774.1_1-224	5	carna
M22655.1_587-657	AE004386.1_8370-8441	4	carna
J01395.1_2878-2951	X02205.1_471-542	0	carna
AF070520.1_2088-2190	AE017200.1_98337-98247	33	carna
X16851.1_1-119	K02354.1_1-118	0	carna
AJ405947.1_1-52	AJ437032.1_1299-1350	0	carna
AE003538.3_103715-103786	AJ243756.1_1-71	0	carna
X59479.1_518-634	AF114033.1_6078-6194	0	carna
AY036578.1_4389-4449	U05876.1_4404-4464	0	carna
AY371133.1_59-142	AF386063.1_65-148	0	carna
X15245.1_512-584	K00174.1_1-68	6	carna
D84262.1_9155-9219	AF207770.1_9114-9179	2	carna
D31785.1_14571-14644	J01390.1_6161-6231	25	carna
AF443090.1_8975-9031	AF096650.1_392-448	0	carna
AY037283.1_59-142	U88823.1_203-287	8	carna
AE005245.1_5142-5071	M16912.1_86-157	0	carna
AB098331.1_447-502	AF019394.1_279-335	0	carna
AF546702.1_388-639	AJ304419.1_355-606	39	carna
AL133551.13_12355-12436	X52392.1_9016-9083	20	carna
X52392.1_5172-5240	AL138651.1_64525-64597	11	carna
AY463232.1_28-126	AY463230.1_28-126	4	carna
AJ131597.1_3-113	X05528.1_1-121	24	carna
BX005479.5_118390-118335	AL954371.6_100128-100074	0	carna
AY070167.1_1-254	M84825.1_2-196	198	carna
AC121784.2_46958-47030	AC121784.2_51879-51950	0	carna
L38327.1_3-288	AF021904.1_1-190	210	carna
AP005335.1_123141-123320	AP005076.1_290738-290918	0	carna
AY172639.1_1-322	D38078.1_1-388	12	carna
M35394.1_1-119	V00648.1_1-119	0	carna
U51189.1_871-954	AF543977.1_38-121	0	carna
D37859.1_1040-1076	Y13184.1_9268-9304	0	carna
AF102203.1_385-441	AF063173.1_401-457	0	carna
J04815.1_3159-3231	V00654.1_12038-12108	4	carna
D37864.1_1040-1076	D49779.1_1040-1076	0	carna
X17661.1_419-487	X55514.2_3696-3624	26	carna
AF231764.1_393-644	AY186748.1_373-624	4	carna
AF114384.1_1-90	AY302546.1_1-90	0	carna
U05033.1_1-360	D31601.1_1-341	48	carna
AJ438628.1_1-250	AY070194.1_1-277	150	carna
X51423.1_1802-1874	D17791.1_52-123	0	carna
AF491241.1_65-148	AB097868.1_871-954	0	carna
X01551.1_1-119	J01009.1_607-725	0	carna
D00061.1_1-120	X13007.1_1-116	26	carna
AY206653.1_1290-1341	AY535780.1_168-219	7	carna
AF457077.1_59-142	AF418439.1_65-148	0	carna
AF017875.1_10-93	Z97125.1_19-102	26	carna
AF529652.1_65-148	AY451144.1_147-230	11	carna
AP005278.1_38696-38585	AE017025.1_109350-109452	26	carna
AJ278830.1_9129-9194	AF207759.1_9123-9188	11	carna
L76399.1_392-643	U05876.1_398-649	4	carna
AF083069.1_394-644	AB081383.1_266-517	175	carna
AJ583744.1_51-102	AJ249237.1_1294-1345	0	carna
X02713.1_1-117	X13005.1_1-116	38	carna
AE006003.1_9570-9465	AE017152.1_58537-58646	14	carna
AC145764.2_6538-6588	BX004764.8_42998-42941	0	carna
AY463233.1_299-382	Z97083.1_19-102	0	carna
M35573.1_1-119	X02254.1_3-118	23	carna
U77070.1_391-641	AY055173.1_299-550	24	carna
K01749.1_2878-2958	U24159.1_431-359	2	carna
AJ131583.1_3-115	D10525.1_1-120	19	carna
X01749.1_448-581	M14386.1_106-268	10	carna
AF033819.3_1631-1682	AF212295.1_1227-1278	0	carna
AC009323.4_12825-12742	AL021918.1_94597-94678	1	carna
AY371121.1_59-142	AY125894.1_65-148	34	carna
AY451134.1_148-231	AY371142.1_59-142	0	carna
M18050.1_352-424	AF493541.1_7070-7138	12	carna
Z84287.1_1-250	AY070203.1_1-277	64	carna
AF169005.1_1-390	Z84280.1_1-250	74	carna
X55265.1_3-119	M36308.1_1-119	31	carna
X15613.1_124-189	AC009323.4_14362-14281	28	carna
X01725.1_69-232	M14121.1_221-384	22	carna
X66325.1_2369-2523	AF223066.1_5881-6030	108	carna
M16907.1_208-137	M87833.1_353-437	20	carna
M11540.1_3-116	X13005.1_1-116	17	carna
AF543973.1_38-121	AY206652.1_65-148	0	carna
AF499643.1_390-640	AF311939.1_395-646	27	carna
AE012197.1_305-402	D11420.1_119-221	4	carna
X55339.1_30-104	AC006635.2_21711-21640	0	carna
AB031215.1_9125-9195	D85289.1_459-527	0	carna
D10582.1_1188-1248	AF405669.1_4445-4505	0	carna
V00476.1_1-119	K03160.1_1-118	0	carna
AF056006.1_1-237	AF057148.1_1-238	30	carna
AY492786.1_843-894	AY358062.1_1284-1335	0	carna
AJ315331.1_53-130	X04465.1_101010-100933	1	carna
AJ011856.1_37648-37722	X97295.1_1333-1451	30	carna
X06810.1_261-421	X69334.1_1-160	9	carna
M74246.1_1-266	AY188171.1_2-196	109	carna
X16754.1_1-86	L07095.1_5327-5261	1	carna
AE017326.1_175321-175412	D84432.1_169999-170100	10	carna
L37445.1_4-118	X06575.1_4-117	1	carna
M68929.1_20078-20150	U46121.1_66-138	23	carna
X17375.2_29364-29438	X01088.1_1893-1955	25	carna
AC121784.2_77918-77991	AL132709.5_138673-138602	0	carna
X55342.1_30-101	AJ011807.1_2601-2531	0	carna
AE017241.1_124587-124696	AP005074.1_11634-11770	40	carna
AF270169.1_2621-2476	AE016761.1_247677-247799	33	carna
AE017007.1_287994-288186	AP004601.1_22341-22165	16	carna
AF196724.1_579-677	L28871.1_483-581	0	carna
AF196710.1_461-517	U88826.1_8892-8948	0	carna
M14386.1_106-268	X63783.1_2026-2185	22	carna
AE016745.1_287368-287470	AL596166.1_166748-166844	4	carna
AY188154.1_2-196	AJ006335.1_1-238	76	carna
U03300.1_813-869	U72113.1_307-363	0	carna
V00675.1_586-656	L23320.1_77-10	0	carna
AJ006022.1_1658-1709	AF042103.1_1445-1496	0	carna
AC146543.2_7696-7640	BX664748.7_61234-61180	1	carna
M10217.1_9797-9871	J01435.1_2804-2867	38	carna
D11414.1_117-219	AE000759.1_8335-8411	12	carna
X54035.1_52-153	AE014730.1_8718-8610	2	carna
AF506664.1_1-246	AF041299.1_1-191	128	carna
AL928834.15_56933-56987	AC139110.4_26593-26647	0	carna
AE007614.1_6196-6300	AE007776.1_3380-3272	10	carna
AF116561.1_5902-6018	X06833.1_1-115	15	carna
X79704.1_3397-3511	X06849.1_1-119	28	carna
AB076245.1_1700-1771	AL132709.5_137723-137652	3	carna
X62858.1_1-121	L37449.1_4-118	22	carna
AB081207.1_65-148	AF255930.1_20-103	18	carna
AJ239083.1_8962-9018	AF443092.1_8891-8947	0	carna
L28906.1_463-561	AF239626.1_541-639	0	carna
AY494950.1_597-710	AY138839.1_1562-1675	0	carna
U67492.1_3149-3223	U61165.1_404-477	18	carna
AY140149.1_1173-1221	AJ405950.1_1-52	8	carna
AF462773.2_779-835	AF004885.1_8993-9048	0	carna
M22655.1_587-657	X14848.1_3824-3891	0	carna
X04246.1_87-278	X04212.1_1-187	4	carna
X72803.1_5789-5814	U62673.1_1076-1101	0	carna
X55255.1_4-120	M35567.1_3-116	3	carna
AF506644.1_1-240	AF506683.1_1-239	264	carna
AY165221.1_243-294	AY358053.1_1284-1335	5	carna
Z17284.1_96-198	U43841.1_337-439	4	carna
X59562.1_71-144	X54421.1_15747-15819	45	carna
AF443109.1_1467-1518	AF024180.1_90-141	0	carna
AP000058.1_196062-195789	AJ248283.1_57201-56921	57	carna
X12975.1_234-306	M91385.1_1205-1276	0	carna
AY329366.1_1456-1569	X66185.1_1123-1236	4	carna
AE016952.1_63114-62943	AE016783.1_50062-49864	129	carna
M16863.1_21-94	X99772.1_7842-7915	7	carna
AF067154.1_8971-9027	AF254720.1_393-449	0	carna
U89858.1_452-550	AF196730.1_601-699	10	carna
AY037279.1_8694-8750	AB097868.1_9497-9553	0	carna
X01534.1_1-119	M16530.1_8-123	8	carna
AJ005302.1_281-334	AJ550908.1_281-334	0	carna
AB008442.1_1-322	D28833.1_2-238	92	carna
X53649.1_495-566	X01738.1_122-190	41	carna
K03155.1_22-137	D00062.1_1-121	11	carna
AF084654.1_65-148	AF480684.1_11-94	4	carna
AP005952.1_179489-179275	AE010642.1_9064-8882	88	carna
X14415.1_175-335	X15926.1_1-161	16	carna
AY463235.1_1523-1574	AY519025.1_46-97	7	carna
AF142677.4_47045-46960	AF047724.1_711-640	1	carna
AF155537.1_65-148	AY275555.1_65-148	28	carna
AP003194.2_209972-209870	AP003190.2_118314-118418	0	carna
AF047722.1_3099-3243	M12856.1_361-551	49	carna
Y18934.1_3868-3797	M86499.1_1022-1088	0	carna
AC084571.1_17976-18047	M26977.1_379-453	0	carna
D14420.1_2-291	D10077.1_1-391	18	carna
AF448783.1_1-91	L76413.1_1-91	0	carna
AE007658.1_8987-8895	AE006566.1_2851-2932	49	carna
AY038234.1_65-148	AY371133.1_59-142	0	carna
U51283.1_364-419	AF385935.1_9583-9639	0	carna
AL132798.2_14445-14516	AE003471.3_169154-169225	0	carna
AE016822.1_1714518-1714420	AJ312125.1_453-315	71	carna
AE016928.1_199416-199321	AF159589.1_4059-4150	30	carna
AB097873.1_223-306	AF543977.1_38-121	0	carna
AF460972.1_1469-1520	AY563169.1_1269-1320	0	carna
X06847.1_1-119	X02631.1_2-115	7	carna
AJ241828.1_56-3	AF170503.1_55-3	0	carna
AC093311.2_140036-139968	AE008868.1_12130-12057	12	carna
AJ270287.1_567-495	X03715.1_926-998	0	carna
X01698.1_176-465	AC084446.1_16506-16210	112	carna
AJ550911.1_56-3	AJ550909.1_56-3	0	carna
X03016.1_3583-3669	X68198.1_9818-9745	5	carna
AF049337.1_220-303	AF480722.1_11-94	0	carna
AE010387.1_4828-4528	Z29099.1_1-303	92	carna
M16530.1_8-123	X05870.1_304-418	21	carna
K02687.1_1-115	X06848.1_1-119	10	carna
D13451.1_2-185	L34382.1_1-279	126	carna
AJ313420.1_46-97	AY371144.1_1284-1335	9	carna
X16759.1_1-73	X12631.1_1775-1706	8	carna
D11413.1_118-216	X15523.1_115-217	2	carna
J00645.1_51-213	L33345.1_2-156	8	carna
AF024042.1_120-171	AF082395.1_1406-1457	0	carna
AL646068.1_58739-58896	AP005278.1_215513-215679	61	carna
AF096635.1_518-616	U24473.1_452-550	0	carna
AL591978.1_19809-19999	AL596167.1_167425-167616	8	carna
X69333.1_1-157	X01749.1_448-581	15	carna
AF216795.1_3-205	AY145966.1_2-232	112	carna
X99256.1_11558-11626	Z28209.1_4569-4498	0	carna
AY304919.1_1277-1328	AF492623.1_1448-1499	0	carna
Z77067.1_1-197	AF041304.1_1-191	182	carna
AB052867.1_707-820	AF443107.1_69-187	84	carna
AL445066.1_280290-280410	X06840.1_1-119	6	carna
X12631.1_11945-12013	Z49705.1_23030-22957	12	carna
X52315.1_1-103	X06669.1_2-108	10	carna
BX248334.1_308192-308010	AE016952.1_63114-62943	68	carna
AY146064.1_1-218	AY145957.1_1-213	54	carna
AF185056.1_845-774	M86495.1_1026-1092	14	carna
Z77061.1_1-197	AY146012.1_5-230	45	carna
X13006.1_1-116	D13620.1_3-119	0	carna
M59340.1_3-119	X01550.1_1-119	17	carna
AE012556.1_212138-212040	AP001510.1_4530-4629	28	carna
AF481780.1_65-148	L03705.1_65-148	0	carna
AE012818.1_1974-2213	BX572599.1_259196-259407	150	carna
AF155542.1_65-148	AB044074.1_65-148	1	carna
X00757.1_2-119	X02026.1_1-117	11	carna
AB081227.1_65-148	AB044068.1_65-148	43	carna
X13958.1_1-301	M20910.1_121-419	151	carna
K00205.1_1-72	M68929.1_164824-164907	17	carna
AF457073.1_8740-8795	M27323.1_9047-9103	0	carna
M27315.1_3787-3850	J01533.1_143-72	21	carna
Z28209.1_4569-4498	X61061.1_74-147	0	carna
AB115513.1_65-148	AF418460.1_48-131	9	carna
X00008.1_296-492	AE017154.1_86844-87014	55	carna
AP003190.2_76046-75937	AP003584.1_118642-118546	4	carna
X00916.1_1570-1644	X81069.1_365-436	0	carna
AF110978.1_182-299	AF075702.1_14-132	46	carna
K02343.1_1-119	M58384.1_1-118	0	carna
AY371142.1_59-142	U29259.1_65-148	0	carna
AL939124.1_163164-163269	AP002998.2_95169-95056	3	carna
X00999.1_1-121	M35563.1_5-120	37	carna
X03902.1_1-114	X02235.1_3-118	1	carna
M32222.1_1277-1363	X16760.1_1-73	2	carna
M36155.1_1-117	X13222.1_1-121	27	carna
AJ277126.1_35792-35885	V00166.1_1829-1941	50	carna
M34776.1_2-116	X00501.1_7-121	26	carna
X01950.1_1-117	X62860.1_3-123	22	carna
X12977.1_475-548	U32694.1_2454-2526	0	carna
AP006583.1_134892-135011	AL596167.1_48063-48187	5	carna
X17239.1_14-300	AP000988.1_199418-199133	17	carna
AF024243.1_90-141	AF212295.1_1227-1278	0	carna
AJ005322.1_56-3	AJ550908.1_281-334	0	carna
AK119882.1_1-98	AP003187.2_239890-239991	17	carna
AP001518.1_300422-300310	AL596165.1_180914-180814	8	carna
AC146547.2_135691-135742	AB001858.1_305-359	0	carna
L28846.1_453-551	AY228556.1_580-678	0	carna
AF036743.1_118-165	AF036400.1_123-167	0	carna
AB034891.1_65-148	AY206650.1_65-148	16	carna
X13823.1_142-214	X14822.1_1-73	14	carna
X14848.1_3820-3750	M25659.1_553-621	10	carna
AY463227.1_28-126	U80536.1_411-509	0	carna
AY519020.1_46-97	AF286242.1_1553-1604	0	carna
M27315.1_1347-1280	AL356957.27_121645-121572	19	carna
AJ400848.1_34280-34188	X05915.1_238-170	6	carna
U41288.1_3118-3192	AJ131145.1_1727-1802	11	carna
AJ291458.1_2-250	D16191.1_1-309	90	carna
X52392.1_13000-13070	X87209.1_183-268	40	carna
AY188092.1_3-196	AY145958.1_1-213	32	carna
X13662.1_1-116	X02013.1_1-116	4	carna
M36312.1_2-120	D10528.1_1-121	14	carna
D29816.1_1-341	U23743.1_3-295	60	carna
X05914.1_238-306	J01390.1_12505-12576	8	carna
X00687.1_1-119	D16558.1_6715-6832	8	carna
D31606.1_1-341	AB049092.1_1-360	29	carna
J01390.1_6161-6231	AF490529.1_2769-2701	0	carna
AY302546.1_7274-7394	AY302551.1_7291-7412	0	carna
AE015940.1_273052-272875	AL646070.1_4253-3997	110	carna
L28914.1_339-395	AB052608.1_455-510	0	carna
X70869.1_1-161	X15926.1_1-161	12	carna
AJ241823.1_282-335	AJ295015.1_58-1	0	carna
AC121784.2_77053-77127	AC121784.2_75479-75547	37	carna
D13102.1_342-269	Z11884.1_254-326	0	carna
M20942.1_1-73	M16909.1_81-161	4	carna
M76571.1_4-117	L27163.1_1-119	40	carna
AF029891.1_4522-4594	AJ277126.1_8230-8302	16	carna
J01888.1_1-119	M76573.1_4-118	21	carna
AY140131.1_1170-1221	AY371134.1_1275-1326	0	carna
AY535690.1_171-222	AB074075.1_1326-1377	0	carna
X04465.1_77203-77142	X05422.1_3488-3558	18	carna
AF349350.1_33-84	AF484482.1_1293-1344	0	carna
AF041285.1_1-191	AB016785.1_1-392	12	carna
M74160.1_2030-2100	AJ012132.1_54-126	20	carna
AF109909.2_85-201	AE004717.1_4063-3947	3	carna
K00281.1_1-72	AE005234.1_8154-8227	0	carna
D31785.1_14571-14644	J01390.1_12100-12172	6	carna
AF286234.1_8939-8995	AF462736.1_769-824	0	carna
AF207761.1_9306-9342	D38079.1_1040-1076	0	carna
U72087.1_330-386	AF000543.1_156-212	0	carna
M35170.1_2-108	AF051554.1_130-236	5	carna
AL591976.1_186683-186486	AE004127.1_7715-7538	17	carna
AC007298.17_145366-145295	D85272.1_587-657	4	carna
AE016948.1_40974-41225	AL596169.1_99976-99747	125	carna
M91385.1_1046-1118	M87833.1_353-437	26	carna
AY255828.1_1281-1332	AF323213.1_27-78	0	carna
M11540.1_3-116	D10527.1_1-120	27	carna
J01893.1_5-114	X73890.1_1-118	0	carna
AY165194.1_234-285	AJ286137.1_52-103	0	carna
M60936.1_3-119	D00076.1_1-119	9	carna
X02706.1_2-120	M35563.1_5-120	8	carna
X02629.1_3-115	X01544.1_1-118	31	carna
AF484483.1_1292-1343	AY206660.1_1305-1356	0	carna
AF165052.1_9114-9179	D50483.1_9114-9179	0	carna
AF457087.1_59-142	AF386053.1_65-148	0	carna
AF056629.1_1-237	M74814.1_2-306	153	carna
AL132709.5_136822-136751	AL132709.5_135542-135471	0	carna
X01484.1_2-120	Z11820.1_5-112	63	carna
AF231765.1_393-644	AY055170.1_299-550	8	carna
AF083069.1_1-90	AJ493062.2_1-90	0	carna
AF361879.1_65-148	AY206649.1_65-148	0	carna
X51824.1_190-272	X13888.1_63-151	30	carna
AB078700.1_65-148	Y13196.1_56-139	13	carna
X04465.1_50998-51070	X05602.1_210-283	0	carna
M26978.1_907-980	X07462.1_14-87	16	carna
X61065.1_170-242	D10745.1_410-483	3	carna
M57569.1_218-26	AP001512.1_161758-161939	78	carna
AF286242.1_173-290	AF465242.1_767-883	81	carna
M17449.1_851-934	U86771.1_97-180	13	carna
Y12731.1_1118-1260	AF143424.1_944-1083	76	carna
U40756.1_3688-3391	X01037.1_5-303	9	carna
AJ276224.1_7310-7431	AF085363.1_7286-7411	43	carna
AY190495.1_1-181	U05027.1_1-361	92	carna
AF008220.1_6620-6692	X03715.1_171-243	0	carna
X02239.1_3-118	M34762.1_3-116	37	carna
D90255.1_422-538	M34764.1_3-118	1	carna
AF418365.1_65-148	Z79573.1_65-148	0	carna
AB074051.1_1350-1401	AY519026.1_46-97	0	carna
X63088.1_299-371	X02172.1_74-145	1	carna
AF069442.1_64156-64461	U40756.1_3688-3391	189	carna
X15621.1_101-144	AF036740.1_117-159	0	carna
X52070.1_699-771	X03715.1_779-868	18	carna
X15245.1_36-152	X01950.1_1-117	1	carna
AC093098.2_67389-67475	M21373.1_131-204	29	carna
AF326169.1_62-145	U56355.1_8-91	21	carna
X06835.1_1-119	M35578.1_1-118	0	carna
X61068.1_760-831	X86563.2_48153-48081	1	carna
M74805.1_2-293	AF506667.1_1-235	20	carna
AF287992.1_4918-5108	X16459.1_280-475	87	carna
D16387.1_11403-11471	AC108081.2_59868-59786	29	carna
AF159589.1_4059-4150	AE007789.1_9122-9015	18	carna
AP005220.1_114937-114792	D90826.1_6621-6743	71	carna
AE004221.1_2485-2350	CR522870.1_1448610-1448703	10	carna
AC008443.10_9027-8955	V00677.1_264-332	0	carna
AE006696.1_291-218	M86498.1_1026-1092	0	carna
X07545.1_505-619	X05534.1_1-118	23	carna
Z84215.1_1-250	L38350.1_5-288	72	carna
K00242.1_1-75	D12694.1_2745-2677	0	carna
AF121485.1_65-148	AJ276596.1_173-256	0	carna
AB049357.1_11673-11743	X03925.1_1-72	0	carna
AP004594.1_205048-204933	U81371.1_247-152	11	carna
AF457060.1_8744-8799	AF254674.1_394-450	0	carna
X04465.1_64788-64715	AF008220.1_6620-6692	0	carna
Z97077.1_19-102	AF418476.1_65-148	0	carna
AY451228.1_148-231	AY371166.1_59-142	4	carna
