sequence_a	sequence_b	software	sensitivity	specificity	approx_correlation	correlation	matthew_coefficient
AF462419.1_4444-4504	AF405666.1_4444-4504	foldalign	1.000	1.000	1.000	1.000	1.000
AF023953.1_90-141	AF443107.1_1462-1513	foldalign	1.000	1.000	1.000	1.000	1.000
M68929.1_20078-20150	X12977.1_94-167	foldalign	0.000	0.000	0.000	0.000	-0.036
AF506687.1_2-242	L34377.1_1-279	foldalign	1.000	1.000	1.000	1.000	1.000
X80059.1_395-646	AF499639.1_393-644	foldalign	0.000	0.000	0.000	0.000	-0.007
M76580.1_4-118	AJ235270.1_260875-260989	foldalign	0.450	0.462	0.456	0.442	0.442
AF084740.1_65-148	AF326171.1_62-145	foldalign	1.000	1.000	1.000	1.000	1.000
Z11823.1_1-116	X01535.1_1-119	foldalign	0.951	0.975	0.963	0.962	0.962
AE017326.1_175321-175412	AL591787.1_222640-222555	foldalign	0.857	1.000	0.929	0.923	0.923
AF286234.1_8939-8995	AF196736.1_485-541	foldalign	0.000	0.000	0.000	0.000	-0.041
AY055155.1_298-549	AF117626.1_289-533	foldalign	0.380	0.366	0.373	0.368	0.368
L36887.1_3769-3839	U18917.1_50408-50336	foldalign	1.000	1.000	1.000	1.000	1.000
M33891.1_4-123	AF088897.1_10366-10481	foldalign	0.718	0.718	0.718	0.711	0.711
U56341.1_29-112	AB081225.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AY423383.1_104-202	U39362.2_578-676	foldalign	1.000	1.000	1.000	1.000	1.000
X02254.1_3-118	X00501.1_7-121	foldalign	0.789	0.833	0.811	0.808	0.808
AF024059.1_117-168	AF443076.1_1443-1494	foldalign	1.000	1.000	1.000	1.000	1.000
Z84232.1_1-250	U23746.1_1-305	foldalign	0.000	0.000	0.000	0.000	-0.008
AF207760.1_9306-9342	D14306.1_1043-1079	foldalign	1.000	1.000	1.000	1.000	1.000
AL591462.5_20240-20187	AL928834.15_155976-156029	foldalign	1.000	1.000	1.000	1.000	1.000
J01390.1_6761-6842	X61066.1_339-412	foldalign	0.000	0.000	0.000	0.000	-0.035
AF170516.1_283-335	AJ241838.1_56-3	foldalign	1.000	1.000	1.000	1.000	1.000
AC146547.2_180585-180535	AL928701.7_182190-182244	foldalign	1.000	1.000	1.000	1.000	1.000
Z84232.1_1-250	Z77077.1_1-197	foldalign	0.000	0.000	0.000	0.000	-0.009
AF088897.1_10366-10481	AJ251080.1_1-117	foldalign	0.541	0.541	0.541	0.531	0.531
AY463227.1_28-126	U80536.1_411-509	foldalign	1.000	1.000	1.000	1.000	1.000
AE003437.3_282636-282708	X16886.1_458-387	foldalign	1.000	1.000	1.000	1.000	1.000
X07377.1_52-124	M24578.1_1373-1445	foldalign	0.000	0.000	0.000	0.000	-0.036
X66325.1_2369-2523	Y07978.1_48-201	foldalign	0.981	1.000	0.991	0.990	0.990
X55697.1_1-119	X00377.1_2-120	foldalign	1.000	1.000	1.000	1.000	1.000
D00076.1_1-119	M36307.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
AC009323.4_12825-12742	AL021918.1_94597-94678	foldalign	0.280	0.280	0.280	0.263	0.263
AE012997.1_6989-7110	AE013857.1_9631-9778	foldalign	0.347	0.395	0.371	0.347	0.347
J01390.1_11933-12004	M86493.1_1025-1091	foldalign	1.000	1.000	1.000	1.000	1.000
D16387.1_11555-11625	M86496.1_1024-1089	foldalign	1.000	1.000	1.000	1.000	1.000
Z23074.1_1-230	AY070200.1_1-277	foldalign	0.000	0.000	0.000	0.000	-0.011
AF462419.1_4444-4504	AF504536.1_666-726	foldalign	1.000	1.000	1.000	1.000	1.000
M37162.1_1557-1488	X69098.1_1-73	foldalign	1.000	1.000	1.000	1.000	1.000
AF443080.1_1454-1505	AY322185.1_1538-1589	foldalign	1.000	1.000	1.000	1.000	1.000
M68929.1_120754-120816	U77945.1_1848-1919	foldalign	1.000	1.000	1.000	1.000	1.000
AF538305.1_579-677	U43096.1_125-223	foldalign	1.000	1.000	1.000	1.000	1.000
AY140558.1_888-939	AF024001.1_120-171	foldalign	1.000	1.000	1.000	1.000	1.000
X13823.1_142-214	X14822.1_1-73	foldalign	0.739	0.708	0.724	0.714	0.714
AE017026.1_171648-171751	AP005038.1_133710-133554	foldalign	0.426	0.556	0.491	0.467	0.467
AJ400848.1_34280-34188	X05915.1_238-170	foldalign	0.000	0.000	0.000	0.000	-0.036
X00865.1_1-119	M36152.1_2-117	foldalign	0.703	0.722	0.712	0.705	0.705
D10074.1_1-374	D45877.1_1-238	foldalign	0.899	0.922	0.910	0.910	0.910
AY188092.1_3-196	AY145958.1_1-213	foldalign	0.000	0.000	0.000	0.000	-0.011
M32222.1_1277-1363	AB042809.1_7700-7764	foldalign	0.273	0.240	0.256	0.213	0.213
AY535673.1_171-222	AY463237.1_1517-1568	foldalign	1.000	1.000	1.000	1.000	1.000
X07772.1_25-50	M60746.1_626-651	foldalign	1.000	1.000	1.000	1.000	1.000
AF506643.1_1-198	L34371.1_1-279	foldalign	0.000	0.000	0.000	0.000	-0.009
X01950.1_1-117	X62860.1_3-123	foldalign	0.763	0.784	0.773	0.768	0.768
AE016822.1_1714418-1714292	AE016822.1_1714518-1714420	foldalign	0.000	0.000	0.000	0.000	-0.038
K02344.1_1-118	M35572.1_1-119	foldalign	0.425	0.415	0.420	0.408	0.408
J00986.1_329-354	U62673.1_1076-1101	foldalign	1.000	1.000	1.000	1.000	1.000
AF499638.1_1-91	AJ132961.1_1-91	foldalign	1.000	1.000	1.000	1.000	1.000
AP006583.1_134892-135011	AL596167.1_48063-48187	foldalign	0.130	0.162	0.146	0.123	0.123
AJ313410.1_52-103	AY371141.1_1275-1326	foldalign	1.000	1.000	1.000	1.000	1.000
AE016999.1_106602-106704	AL139075.2_104313-104417	foldalign	1.000	1.000	1.000	1.000	1.000
X06477.1_503-698	AF095839.1_1586-1389	foldalign	0.647	0.688	0.667	0.663	0.663
AY173959.1_1198-1249	AF119820.1_2110-2161	foldalign	1.000	1.000	1.000	1.000	1.000
M25321.1_478-410	K00174.1_1-68	foldalign	1.000	1.000	1.000	1.000	1.000
AC146547.2_135691-135742	AB001858.1_305-359	foldalign	1.000	1.000	1.000	1.000	1.000
D49772.1_1040-1076	D84263.1_9324-9360	foldalign	1.000	1.000	1.000	1.000	1.000
K03161.1_1-118	X62865.1_3-123	foldalign	0.769	0.769	0.769	0.763	0.763
M86760.1_218-371	AF223571.1_210-358	foldalign	0.927	0.905	0.916	0.915	0.915
AF055302.1_1-238	AY146000.1_2-212	foldalign	0.836	0.889	0.862	0.861	0.861
AF491236.1_65-148	AF533134.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AJ245864.1_1369-1498	AJ577590.1_7312-7433	foldalign	0.135	0.147	0.141	0.128	0.128
X00925.1_392-642	AY055134.1_294-545	foldalign	0.000	0.000	0.000	0.000	-0.007
AP001518.1_300422-300310	AL596165.1_180914-180814	foldalign	0.829	1.000	0.914	0.908	0.908
AF217314.1_1-256	AY070205.1_1-277	foldalign	0.957	0.957	0.957	0.957	0.957
AL591978.1_19809-19999	BX572595.1_100553-100338	foldalign	0.000	0.000	0.000	0.000	-0.015
AF484493.1_1290-1341	AY037266.1_1278-1329	foldalign	1.000	1.000	1.000	1.000	1.000
X65991.1_1-302	AC005275.1_105500-105804	foldalign	0.000	0.000	0.000	0.000	-0.007
AF165050.1_1-379	D10988.1_1-391	foldalign	0.991	1.000	0.996	0.996	0.996
U26546.1_1464-1515	AY090761.1_678-729	foldalign	1.000	1.000	1.000	1.000	1.000
M86494.1_1026-1092	K00369.1_1-82	foldalign	0.000	0.000	0.000	0.000	-0.055
AF116058.1_50-133	AB078706.1_65-148	foldalign	0.000	0.000	0.000	0.000	-0.019
AP006583.1_134892-135011	AE015551.1_8187-8055	foldalign	0.186	0.222	0.204	0.180	0.180
Z28209.1_4569-4498	X61061.1_74-147	foldalign	1.000	1.000	1.000	1.000	1.000
AY535692.1_171-222	AY371126.1_1275-1326	foldalign	1.000	1.000	1.000	1.000	1.000
AL132709.5_153488-153414	AL132709.5_149496-149422	foldalign	0.000	0.000	0.000	0.000	-0.025
AP003190.2_76046-75937	AP003584.1_118642-118546	foldalign	1.000	1.000	1.000	1.000	1.000
M20910.1_121-419	U23515.1_33862-33566	foldalign	0.294	0.314	0.304	0.297	0.297
AF067159.1_232-315	M26727.1_400-483	foldalign	1.000	1.000	1.000	1.000	1.000
Z50076.1_4-120	M10850.1_361-479	foldalign	0.878	0.900	0.889	0.886	0.886
Z50055.1_3-119	D13620.1_3-119	foldalign	0.000	0.000	0.000	0.000	-0.017
K02343.1_1-119	M58384.1_1-118	foldalign	1.000	1.000	1.000	1.000	1.000
AE017274.1_20257-20449	AE007576.1_1562-1747	foldalign	0.095	0.102	0.098	0.085	0.085
X00999.1_1-121	M35563.1_5-120	foldalign	0.415	0.425	0.420	0.404	0.404
AF069139.1_3793-3848	U80526.1_287-343	foldalign	0.000	0.000	0.000	0.000	-0.043
X52154.1_891-974	AB042487.1_65-148	foldalign	0.636	0.636	0.636	0.628	0.628
M35394.1_1-119	X05233.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
AF041272.1_1-191	X78860.1_2-193	foldalign	0.889	0.909	0.899	0.898	0.898
U23406.1_206-352	X71483.1_1-191	foldalign	0.298	0.424	0.361	0.348	0.348
AE008441.1_3915-4003	AP005031.1_220043-219938	foldalign	0.095	0.091	0.093	0.069	0.069
AY492781.1_813-864	AJ313407.1_51-102	foldalign	1.000	1.000	1.000	1.000	1.000
J00645.1_51-213	Z11883.1_2840-2993	foldalign	0.180	0.196	0.188	0.177	0.177
X04815.1_1-81	AL023288.2_21768-21839	foldalign	0.409	0.429	0.419	0.395	0.395
M32222.1_1277-1363	X16760.1_1-73	foldalign	0.455	0.455	0.455	0.437	0.437
J04815.1_952-1020	AL009179.1_106037-106108	foldalign	1.000	1.000	1.000	1.000	1.000
Z97093.1_19-102	AF110962.1_344-427	foldalign	1.000	1.000	1.000	1.000	1.000
U18917.1_50408-50336	X62800.1_3583-3669	foldalign	0.480	0.500	0.490	0.468	0.468
AJ291718.1_701-816	AY161880.1_12-128	foldalign	1.000	1.000	1.000	1.000	1.000
X02637.1_3-120	X00866.1_1-119	foldalign	0.923	0.923	0.923	0.921	0.921
AB097873.1_8937-8993	AF239647.1_394-449	foldalign	1.000	1.000	1.000	1.000	1.000
X12631.1_11945-12013	Z49705.1_23030-22957	foldalign	0.850	0.850	0.850	0.844	0.844
AF156820.1_43-94	AY535670.1_171-222	foldalign	1.000	1.000	1.000	1.000	1.000
X04465.1_64788-64715	Z99104.2_95646-95728	foldalign	0.000	0.000	0.000	0.000	-0.031
L00194.1_554-627	X12890.1_2055-2127	foldalign	1.000	1.000	1.000	1.000	1.000
Z79550.1_65-148	AY134975.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
L27903.1_1-231	AY188165.1_2-196	foldalign	1.000	1.000	1.000	1.000	1.000
AY492777.1_840-891	AY455784.1_1548-1599	foldalign	1.000	1.000	1.000	1.000	1.000
Z84287.1_1-250	AY070203.1_1-277	foldalign	0.000	0.000	0.000	0.000	-0.009
AY145982.1_5-230	Z84209.1_1-250	foldalign	0.000	0.000	0.000	0.000	-0.009
AY146064.1_1-218	AY145957.1_1-213	foldalign	0.000	0.000	0.000	0.000	-0.010
X15927.1_1-160	X55773.1_387-534	foldalign	0.204	0.222	0.213	0.200	0.200
X53463.1_847-903	AF136399.1_1808-1868	foldalign	0.471	0.571	0.521	0.499	0.499
AF165053.1_9306-9342	D37857.1_1040-1076	foldalign	1.000	1.000	1.000	1.000	1.000
X13006.1_1-116	D13620.1_3-119	foldalign	1.000	1.000	1.000	1.000	1.000
D00435.1_4364-4424	X84981.1_4384-4444	foldalign	1.000	1.000	1.000	1.000	1.000
AF481780.1_65-148	L03705.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
X80245.1_11535-11604	X55514.2_3696-3624	foldalign	0.000	0.000	0.000	0.000	-0.037
M20957.1_1-85	K03079.1_135-206	foldalign	0.227	0.217	0.222	0.188	0.188
X00757.1_2-119	X02026.1_1-117	foldalign	0.108	0.105	0.107	0.087	0.087
X15936.1_256-455	L25918.1_1-181	foldalign	0.129	0.129	0.129	0.118	0.118
AE005611.1_1749-1821	X03925.1_1-72	foldalign	1.000	1.000	1.000	1.000	1.000
K00205.1_1-72	M68929.1_164824-164907	foldalign	0.000	0.000	0.000	0.000	-0.032
AL591788.1_218367-218154	AJ000758.1_1191-1370	foldalign	0.508	0.508	0.508	0.499	0.499
AY232734.1_9159-9223	AF011753.1_9129-9194	foldalign	0.000	0.000	0.000	0.000	-0.044
BX537638.1_3883-3996	AY329366.1_1456-1569	foldalign	1.000	1.000	1.000	1.000	1.000
AF216795.1_3-205	AY145966.1_2-232	foldalign	0.000	0.000	0.000	0.000	-0.008
AB034893.1_65-148	U29405.1_65-148	foldalign	0.000	0.000	0.000	0.000	-0.027
X06476.1_456-651	X56321.1_284-479	foldalign	1.000	1.000	1.000	1.000	1.000
L76394.1_391-643	U77070.1_391-641	foldalign	0.045	0.046	0.045	0.039	0.039
AF443089.1_69-186	AF164485.1_717-830	foldalign	0.545	0.600	0.573	0.566	0.566
AF207757.1_1-379	D45878.1_1-238	foldalign	0.917	0.928	0.922	0.922	0.922
AY070200.1_1-277	AF217313.1_1-256	foldalign	0.000	0.000	0.000	0.000	-0.008
AY070181.1_1-263	AY190490.1_1-181	foldalign	0.833	0.784	0.809	0.806	0.806
L26849.1_150-253	M31687.1_705-811	foldalign	1.000	1.000	1.000	1.000	1.000
AY190452.1_1-181	AY190445.1_1-181	foldalign	0.000	0.000	0.000	0.000	-0.012
Z77067.1_1-197	AF041304.1_1-191	foldalign	0.000	0.000	0.000	0.000	-0.013
M21085.1_9-299	AJ248283.1_57201-56921	foldalign	0.000	0.000	0.000	0.000	-0.011
X80346.1_67-220	X60705.1_112-265	foldalign	1.000	1.000	1.000	1.000	1.000
AF017899.1_10-93	AB034899.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
X16885.1_1030-1101	X52392.1_16039-16107	foldalign	0.478	0.500	0.489	0.468	0.468
AF311939.1_4359-4419	AF462418.1_4444-4504	foldalign	1.000	1.000	1.000	1.000	1.000
X89531.1_277-528	L76411.1_391-642	foldalign	0.000	0.000	0.000	0.000	-0.007
AY518945.1_46-97	AJ249237.1_1294-1345	foldalign	1.000	1.000	1.000	1.000	1.000
AF156834.1_45-96	AJ508597.1_2082-2133	foldalign	1.000	1.000	1.000	1.000	1.000
AY163827.1_1-253	M84829.1_3-321	foldalign	0.000	0.000	0.000	0.000	-0.007
M59313.1_33-146	X60797.1_1180-1293	foldalign	1.000	1.000	1.000	1.000	1.000
Z29105.1_1-303	X65984.1_1-306	foldalign	0.017	0.018	0.018	0.010	0.010
AF010496.1_39869-39652	AF306632.1_382-181	foldalign	0.103	0.109	0.106	0.094	0.094
L08897.1_5770-5874	X05527.1_1-120	foldalign	0.579	0.550	0.564	0.546	0.546
X15602.1_102-172	X05071.1_204-288	foldalign	0.455	0.455	0.455	0.432	0.432
AF176573.1_9261-9311	Y11604.1_9193-9243	foldalign	1.000	1.000	1.000	1.000	1.000
AF063164.1_455-511	AF196726.1_454-510	foldalign	1.000	1.000	1.000	1.000	1.000
AE002554.1_2672-2573	AE016750.1_293855-293964	foldalign	0.000	0.000	0.000	0.000	-0.024
AL935252.1_202700-202607	AL672115.1_15647-15763	foldalign	0.208	0.200	0.204	0.186	0.186
AE017033.1_110729-110493	AE017038.1_120994-120749	foldalign	0.000	0.000	0.000	0.000	-0.011
AF096635.1_518-616	U24473.1_452-550	foldalign	1.000	1.000	1.000	1.000	1.000
AL592062.11_86073-86127	AL928834.15_4130-4184	foldalign	1.000	1.000	1.000	1.000	1.000
AY145956.1_1-204	L38332.1_1-282	foldalign	0.000	0.000	0.000	0.000	-0.009
AE006268.1_10610-10511	AP004825.1_152111-152011	foldalign	0.280	0.292	0.286	0.269	0.269
AF063224.1_8896-8952	AF484514.1_8723-8779	foldalign	1.000	1.000	1.000	1.000	1.000
X02628.1_2-114	M10435.1_2-120	foldalign	0.585	0.585	0.585	0.573	0.573
AB074067.1_85-168	AY371150.1_59-142	foldalign	0.000	0.000	0.000	0.000	-0.018
D10526.1_1-121	M35568.1_2-115	foldalign	0.718	0.718	0.718	0.711	0.711
M10217.1_4724-4798	AF490529.1_11834-11766	foldalign	0.955	1.000	0.977	0.976	0.976
AB021174.1_1-299	Z34533.1_38786-39082	foldalign	0.063	0.065	0.064	0.056	0.056
AY008718.1_61-144	AB074072.1_110-193	foldalign	1.000	1.000	1.000	1.000	1.000
X02172.1_155-228	X01017.1_116-189	foldalign	0.000	0.000	0.000	0.000	-0.034
M11546.1_4-118	X01555.1_3-118	foldalign	0.436	0.436	0.436	0.424	0.424
AF036756.1_118-162	X15620.1_19-62	foldalign	0.600	0.857	0.729	0.707	0.707
X52298.1_2-113	X04585.1_3-117	foldalign	0.459	0.472	0.466	0.455	0.455
AF442570.1_8877-8933	AY118156.1_2-57	foldalign	1.000	1.000	1.000	1.000	1.000
AF165053.1_9306-9342	AJ278830.1_9321-9357	foldalign	1.000	1.000	1.000	1.000	1.000
X01749.1_448-581	M14386.1_106-268	foldalign	0.976	1.000	0.988	0.988	0.988
X07377.1_52-124	X59582.1_477-558	foldalign	0.429	0.429	0.429	0.406	0.406
AY339791.1_61-144	AY288899.1_65-148	foldalign	0.000	0.000	0.000	0.000	-0.027
L38330.1_3-288	AY344025.1_1-340	foldalign	0.205	0.254	0.230	0.223	0.223
AF443092.1_1453-1504	AF023934.1_90-141	foldalign	1.000	1.000	1.000	1.000	1.000
X05915.1_238-170	M68929.1_32684-32756	foldalign	1.000	1.000	1.000	1.000	1.000
AJ277126.1_2879-2953	X86563.2_93178-93102	foldalign	0.000	0.000	0.000	0.000	-0.037
AF004408.1_427-558	AY372453.1_27964-28063	foldalign	0.357	0.385	0.371	0.358	0.358
AF142677.4_47404-47332	D16387.1_11909-11838	foldalign	0.000	0.000	0.000	0.000	-0.033
AY255828.1_1281-1332	AF391253.1_1284-1335	foldalign	1.000	1.000	1.000	1.000	1.000
AY302548.1_7313-7433	AF317694.1_7290-7410	foldalign	1.000	1.000	1.000	1.000	1.000
U29414.1_65-148	Z79533.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AE013320.1_6338-6044	X15364.1_835-1130	foldalign	0.600	0.606	0.603	0.599	0.599
L28896.1_463-561	AF254701.1_540-638	foldalign	1.000	1.000	1.000	1.000	1.000
AF319664.1_1334-1447	AB018545.1_1858-1971	foldalign	1.000	1.000	1.000	1.000	1.000
AJ131583.1_3-115	D10525.1_1-120	foldalign	0.750	0.750	0.750	0.743	0.743
AJ313420.1_46-97	AY371144.1_1284-1335	foldalign	1.000	1.000	1.000	1.000	1.000
AY188116.1_1-196	Z84240.1_1-250	foldalign	0.000	0.000	0.000	0.000	-0.010
J01390.1_6669-6740	X04465.1_36787-36715	foldalign	0.000	0.000	0.000	0.000	-0.045
X55269.1_3-119	M35578.1_1-118	foldalign	0.737	0.737	0.737	0.730	0.730
X13975.1_39-104	Z75101.1_9634-9705	foldalign	1.000	1.000	1.000	1.000	1.000
BX664748.7_7629-7575	AB029447.1_1210-1265	foldalign	1.000	1.000	1.000	1.000	1.000
D10368.1_338-405	Z98744.2_66305-66234	foldalign	0.762	1.000	0.881	0.869	0.869
AY037272.1_8719-8775	AF096646.1_393-449	foldalign	1.000	1.000	1.000	1.000	1.000
X13040.1_1-118	X01536.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
U18997.1_19117-19256	AE014915.1_3159-3261	foldalign	0.000	0.000	0.000	0.000	-0.035
BX569783.4_35396-35342	AC139110.4_26930-26875	foldalign	1.000	1.000	1.000	1.000	1.000
AF024203.1_90-141	AJ535022.1_23-74	foldalign	1.000	1.000	1.000	1.000	1.000
AP001512.1_200657-200766	AL591980.1_89597-89491	foldalign	0.500	0.500	0.500	0.488	0.488
J00645.1_51-213	L33345.1_2-156	foldalign	0.725	0.740	0.733	0.730	0.730
X52392.1_6573-6508	X16885.1_950-882	foldalign	0.000	0.000	0.000	0.000	-0.044
AC093311.2_140036-139968	AE008868.1_12130-12057	foldalign	0.750	0.667	0.708	0.695	0.695
AF462418.1_4444-4504	AF114383.1_4363-4423	foldalign	1.000	1.000	1.000	1.000	1.000
X03924.1_17-83	AE005245.1_5142-5071	foldalign	1.000	1.000	1.000	1.000	1.000
AY304935.1_1283-1334	AF484485.1_1293-1344	foldalign	1.000	1.000	1.000	1.000	1.000
AF499637.1_391-642	AY184219.1_389-639	foldalign	1.000	1.000	1.000	1.000	1.000
AE000516.2_79275-79185	AP003015.2_179461-179552	foldalign	0.000	0.000	0.000	0.000	-0.034
AF196714.1_602-700	AF003888.1_558-656	foldalign	1.000	1.000	1.000	1.000	1.000
AF023977.1_120-171	AY371169.1_1296-1347	foldalign	1.000	1.000	1.000	1.000	1.000
AF454951.1_1084-1198	M11543.1_1-115	foldalign	0.237	0.237	0.237	0.221	0.221
X03952.1_2442-2467	BC016336.1_372-397	foldalign	1.000	1.000	1.000	1.000	1.000
AE013010.1_3537-3777	AE013011.1_30-270	foldalign	1.000	1.000	1.000	1.000	1.000
AF065404.1_6521-6444	X04465.1_117436-117320	foldalign	1.000	1.000	1.000	1.000	1.000
X53649.1_604-676	X05395.1_365-438	foldalign	0.000	0.000	0.000	0.000	-0.030
X04465.1_120306-120235	AC084609.1_20256-20184	foldalign	1.000	1.000	1.000	1.000	1.000
X01698.1_176-465	AC084446.1_16506-16210	foldalign	0.073	0.082	0.077	0.067	0.067
AF041277.1_1-191	U51767.1_1-224	foldalign	0.793	0.780	0.786	0.784	0.784
X12631.1_1426-1497	X04160.1_116-188	foldalign	1.000	1.000	1.000	1.000	1.000
X03016.1_3583-3669	X68198.1_9818-9745	foldalign	0.000	0.000	0.000	0.000	-0.035
K02349.1_1-119	X06837.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
AE007651.1_7649-7751	AE004009.1_105-203	foldalign	0.000	0.000	0.000	0.000	-0.024
M31489.1_112-183	X60981.1_3446-3518	foldalign	0.000	0.000	0.000	0.000	-0.038
AF041287.1_1-191	Z77073.1_1-195	foldalign	0.784	0.769	0.777	0.774	0.774
Z00028.1_5121-5234	X04465.1_47942-47868	foldalign	0.500	0.560	0.530	0.507	0.507
AE017241.1_124587-124696	AF104225.1_570-680	foldalign	0.000	0.000	0.000	0.000	-0.021
M16530.1_8-123	X05870.1_304-418	foldalign	0.405	0.425	0.415	0.400	0.400
AJ295196.1_354-605	AY167103.1_375-626	foldalign	1.000	1.000	1.000	1.000	1.000
AJ312125.1_523-454	CR522870.1_1448610-1448703	foldalign	0.304	0.368	0.336	0.312	0.312
BX649600.8_46743-46797	AL928701.7_176380-176432	foldalign	1.000	1.000	1.000	1.000	1.000
X16643.1_1078-1151	AE003494.3_240865-240793	foldalign	1.000	1.000	1.000	1.000	1.000
Z50060.1_3-119	Z50067.1_4-120	foldalign	1.000	1.000	1.000	1.000	1.000
AF165060.1_9114-9179	AB049088.1_9126-9191	foldalign	1.000	1.000	1.000	1.000	1.000
AY302546.1_7274-7394	S76772.1_7276-7397	foldalign	0.088	0.091	0.090	0.077	0.077
M73768.1_361-517	M14386.1_106-268	foldalign	0.000	0.000	0.000	0.000	-0.012
M31489.1_112-183	AJ002222.1_720-791	foldalign	1.000	1.000	1.000	1.000	1.000
AF041297.1_1-191	AY190396.1_1-181	foldalign	0.907	0.891	0.899	0.898	0.898
X06849.1_1-119	M36152.1_2-117	foldalign	0.769	0.811	0.790	0.784	0.784
X66440.1_1-74	X03499.1_37-110	foldalign	0.857	0.857	0.857	0.852	0.852
AB083568.1_1316-1367	AF156828.1_45-96	foldalign	1.000	1.000	1.000	1.000	1.000
L36897.1_2659-2743	X04465.1_19125-19199	foldalign	0.815	0.759	0.787	0.779	0.779
K00242.1_1-75	X16885.1_631-561	foldalign	1.000	1.000	1.000	1.000	1.000
AB097873.1_223-306	AF543977.1_38-121	foldalign	1.000	1.000	1.000	1.000	1.000
AY463233.1_299-382	Z97083.1_19-102	foldalign	1.000	1.000	1.000	1.000	1.000
L28893.1_463-561	AF196762.1_591-689	foldalign	1.000	1.000	1.000	1.000	1.000
X00081.1_2-117	M35574.1_1-119	foldalign	0.212	0.241	0.227	0.211	0.211
AF065158.1_295-545	AF225473.1_351-602	foldalign	0.000	0.000	0.000	0.000	-0.007
X61067.1_133-205	X60981.1_3898-3969	foldalign	1.000	1.000	1.000	1.000	1.000
AF024104.1_120-171	AY682547.1_1576-1627	foldalign	1.000	1.000	1.000	1.000	1.000
X15613.1_1106-1175	X04779.1_1-73	foldalign	1.000	1.000	1.000	1.000	1.000
X06847.1_1-119	X02631.1_2-115	foldalign	0.600	0.615	0.608	0.597	0.597
L07095.1_5086-5018	X61064.1_63-135	foldalign	1.000	1.000	1.000	1.000	1.000
